,Cage,MOUSE_ID,SEX,%P/%C/%F,Diet,ENERGY_DENSITY,Date_of_Arrival,Date_of_Death/collection,Mode_of_death,status 1=dead; 2=alive,age at death (w),Arrival.wave,%P,Dry weight food eaten (g/mouse/cage/d),Cellulose intake (g/d),P eaten (kJ/mse/cage/d),C eaten (kJ/mse/cage/d),F eaten (kJ/mse/cage/d),Energy intake (kJ/mse/cage/d),Arrival wave,Energy density
0,1,3,M,60/20/20,SF09-043,LOW,30-Jul-09,27-Jun-11,fd,1,103,First,60,3.58,1.72,17.98,5.99,5.99,29.95,First,1.0
1,2,1,F,60/20/20,SF09-043,LOW,30-Jul-09,27-Jun-11,fd,1,103,First,60,2.93,1.41,14.75,4.91,4.91,24.56,First,1.0
2,2,3,F,60/20/20,SF09-043,LOW,30-Jul-09,01-Jul-11,fd,1,103,First,60,2.93,1.41,14.75,4.91,4.91,24.56,First,1.0
3,7,1,M,33/47/20,SF09-052,LOW,30-Jul-09,30-Jan-12,fd,1,134,First,33,,,,,,,,
4,7,3,M,33/47/20,SF09-052,LOW,30-Jul-09,28-Jan-12,fd,1,133,First,33,,,,,,,,
5,8,1,F,33/47/20,SF09-052,LOW,30-Jul-09,21-Jan-12,fd,1,132,First,33,3.44,1.62,9.53,13.83,5.77,29.13,First,1.0
6,8,3,F,33/47/20,SF09-052,LOW,30-Jul-09,30-Jan-12,fd,1,134,First,33,3.44,1.62,9.53,13.83,5.77,29.13,First,1.0
7,9,1,M,33/20/47,SF09-055,LOW,30-Jul-09,12-Apr-10,fd,1,40,First,33,,,,,,,,
8,9,3,M,33/20/47,SF09-055,LOW,30-Jul-09,16-Feb-11,fd,1,84,First,33,,,,,,,,
9,10,1,F,33/20/47,SF09-055,LOW,30-Jul-09,04-Apr-11,fd canna,1,91,First,33,3.99,2.23,11.03,6.68,16.02,33.73,First,1.0
10,10,3,F,33/20/47,SF09-055,LOW,30-Jul-09,17-May-11,fd,1,97,First,33,3.99,2.23,11.03,6.68,16.02,33.73,First,1.0
11,13,1,M,14/29/57,SF09-061,LOW,30-Jul-09,17-Jul-11,fd,1,105,First,14,4.02,2.41,4.72,9.77,19.2,33.69,First,1.0
12,13,3,M,14/29/57,SF09-061,LOW,30-Jul-09,30-May-11,cann,1,99,First,14,4.02,2.41,4.72,9.77,19.2,33.69,First,1.0
13,14,1,F,14/29/57,SF09-061,LOW,30-Jul-09,11-Jul-11,cann,1,105,First,14,3.73,2.24,4.38,9.06,17.81,31.25,First,1.0
14,14,3,F,14/29/57,SF09-061,LOW,30-Jul-09,08-Aug-11,fd,1,109,First,14,3.73,2.24,4.38,9.06,17.81,31.25,First,1.0
15,15,2,M,14/57/29,SF09-064,LOW,30-Jul-09,21-Jun-10,fd,1,50,First,14,,,,,,,,
16,15,3,M,14/57/29,SF09-064,LOW,30-Jul-09,18-Jul-11,fd,1,106,First,14,,,,,,,,
17,16,1,F,14/57/29,SF09-064,LOW,30-Jul-09,23-Aug-11,fd,1,111,First,14,3.4,1.73,3.99,16.21,8.25,28.45,First,1.0
18,16,3,F,14/57/29,SF09-064,LOW,30-Jul-09,27-Jun-11,cann,1,103,First,14,3.4,1.73,3.99,16.21,8.25,28.45,First,1.0
19,17,1,M,42/29/29,SF09-067,LOW,30-Jul-09,27-Jun-11,cann,1,103,First,42,,,,,,,,
20,17,2,M,42/29/29,SF09-067,LOW,30-Jul-09,03-Mar-10,fd,1,34,First,42,,,,,,,,
21,17,3,M,42/29/29,SF09-067,LOW,30-Jul-09,17-Jul-11,fd,1,105,First,42,,,,,,,,
22,18,1,F,42/29/29,SF09-067,LOW,30-Jul-09,05-Mar-11,fd,1,86,First,42,3.35,1.71,11.81,8.14,8.14,28.09,First,1.0
23,18,3,F,42/29/29,SF09-067,LOW,30-Jul-09,23-Jun-11,fd,1,102,First,42,3.35,1.71,11.81,8.14,8.14,28.09,First,1.0
24,19,1,M,23/38/38,SF09-070,LOW,30-Jul-09,30-May-11,fd,1,99,First,23,,,,,,,,
25,19,2,M,23/38/38,SF09-070,LOW,30-Jul-09,01-Jul-10,rp,1,51,First,23,,,,,,,,
26,19,3,M,23/38/38,SF09-070,LOW,30-Jul-09,15-May-11,cann,1,96,First,23,,,,,,,,
27,20,1,F,23/38/38,SF09-070,LOW,30-Jul-09,12-Jun-11,fd,1,100,First,23,3.69,1.99,7.11,11.72,11.72,30.55,First,1.0
28,20,3,F,23/38/38,SF09-070,LOW,30-Jul-09,06-May-11,cann,1,95,First,23,3.69,1.99,7.11,11.72,11.72,30.55,First,1.0
29,21,3,M,60/20/20,SF09-044,MED,30-Jul-09,30-Dec-11,fd,1,129,First,60,2.5,0.58,18.87,6.28,6.28,31.43,First,2.0
30,22,1,F,60/20/20,SF09-044,MED,30-Jul-09,15-May-11,fd,1,96,First,60,2.34,0.54,17.65,5.87,5.87,29.4,First,2.0
31,22,3,F,60/20/20,SF09-044,MED,30-Jul-09,26-Oct-11,fd,1,120,First,60,2.34,0.54,17.65,5.87,5.87,29.4,First,2.0
32,23,1,M,5/75/20,SF09-047,MED,30-Jul-09,09-Mar-12,fd,1,139,First,5,,,,,,,,
33,23,2,M,5/75/20,SF09-047,MED,30-Jul-09,20-Jun-11,fd,1,102,First,5,,,,,,,,
34,23,3,M,5/75/20,SF09-047,MED,30-Jul-09,13-Jan-10,fd,1,27,First,5,,,,,,,,
35,24,1,F,5/75/20,SF09-047,MED,30-Jul-09,02-Jul-11,fd,1,103,First,5,2.84,0.68,1.79,26.76,7.13,35.68,First,2.0
36,24,3,F,5/75/20,SF09-047,MED,30-Jul-09,11-Jan-12,fd,1,131,First,5,2.84,0.68,1.79,26.76,7.13,35.68,First,2.0
37,27,1,M,33/47/20,SF09-053,MED,30-Jul-09,01-Feb-11,fd,1,82,First,33,3.21,0.74,13.31,19.32,8.05,40.68,First,2.0
38,27,3,M,33/47/20,SF09-053,MED,30-Jul-09,28-Jan-12,fd,1,133,First,33,3.21,0.74,13.31,19.32,8.05,40.68,First,2.0
39,28,1,F,33/47/20,SF09-053,MED,30-Jul-09,15-Mar-12,fd,1,140,First,33,2.69,0.62,11.15,16.19,6.75,34.09,First,2.0
40,28,3,F,33/47/20,SF09-053,MED,30-Jul-09,23-Jan-12,fd,1,133,First,33,2.69,0.62,11.15,16.19,6.75,34.09,First,2.0
